id;Sorular;A-??kk?;B-??kk?;C-??kk?;D-??kk?;E-??kk?;Do?ru Cevap1;Do?ru Cevap2;s
46;"Aslýnýn 37 tane cevizi vardýr. Kenan Aslý’ya bir düzine ceviz verirse Aslý’nýn kaç cevizi olur?" 42;88;89;90;91;;C;;s
47;"Aslýnýn 37 tane cevizi vardýr. Kenan Aslý’ya bir düzine ceviz verirse Aslý’nýn kaç cevizi olur?" 43;89;90;91;92;;C;;s
48;"Aslýnýn 37 tane cevizi vardýr. Kenan Aslý’ya bir düzine ceviz verirse Aslý’nýn kaç cevizi olur?" 44;90;91;92;93;;C;;s
49;"Aslýnýn 37 tane cevizi vardýr. Kenan Aslý’ya bir düzine ceviz verirse Aslý’nýn kaç cevizi olur?" 45;91;92;93;94;;C;;s
50;"Aslýnýn 37 tane cevizi vardýr. Kenan Aslý’ya bir düzine ceviz verirse Aslý’nýn kaç cevizi olur?" 46;92;93;94;95;;C;;s
51;"Aslýnýn 37 tane cevizi vardýr. Kenan Aslý’ya bir düzine ceviz verirse Aslý’nýn kaç cevizi olur?" 47;93;94;95;96;;C;;s
52;"Aslýnýn 37 tane cevizi vardýr. Kenan Aslý’ya bir düzine ceviz verirse Aslý’nýn kaç cevizi olur?" 48;94;95;96;97;;C;;s
53;"Aslýnýn 37 tane cevizi vardýr. Kenan Aslý’ya bir düzine ceviz verirse Aslý’nýn kaç cevizi olur?" 49;95;96;97;98;;C;;s
54;"Aslýnýn 37 tane cevizi vardýr. Kenan Aslý’ya bir düzine ceviz verirse Aslý’nýn kaç cevizi olur?" 50;96;97;98;99;;C;;s
55;"Aslýnýn 37 tane cevizi vardýr. Kenan Aslý’ya bir düzine ceviz verirse Aslý’nýn kaç cevizi olur?" 51;97;98;99;100;;C;;s
56;"Aslýnýn 37 tane cevizi vardýr. Kenan Aslý’ya bir düzine ceviz verirse Aslý’nýn kaç cevizi olur?" 52;98;99;100;101;;C;;s
57;"Aslýnýn 37 tane cevizi vardýr. Kenan Aslý’ya bir düzine ceviz verirse Aslý’nýn kaç cevizi olur?" 53;99;100;101;102;;C;;s
58;"Aslýnýn 37 tane cevizi vardýr. Kenan Aslý’ya bir düzine ceviz verirse Aslý’nýn kaç cevizi olur?" 54;100;101;102;103;;C;;s
59;"Aslýnýn 37 tane cevizi vardýr. Kenan Aslý’ya bir düzine ceviz verirse Aslý’nýn kaç cevizi olur?" 55;101;102;103;104;;C;;s
60;"Aslýnýn 37 tane cevizi vardýr. Kenan Aslý’ya bir düzine ceviz verirse Aslý’nýn kaç cevizi olur?" 56;102;103;104;105;;C;;s
